Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Buffer_Length,Queue_Length,Entities_System
21600,START_SIMULATION,21600,21600,0,0,0,0,0
21639.502445970593,NEXT_ARRIVAL,21600,21639.502445970593,2054.1271904708265,0,0,0,0
21691.59819219334,NEXT_ARRIVAL,21639.502445970593,21691.59819219334,4711.010247831018,52.09574622274886,0,0,1
21758.17997378858,END_SERVICE,21639.502445970593,21758.17997378858,8040.099327592998,185.25930941322804,0,0,2
21803.176602275133,NEXT_ARRIVAL,21691.59819219334,21803.176602275133,10334.927380407116,230.25593789977938,0,0,1
21814.027300570047,END_SERVICE,21691.59819219334,21814.027300570047,10877.462295152854,251.9573344896089,0,0,2
21827.444180905983,NEXT_ARRIVAL,21803.176602275133,21827.444180905983,11561.723192285554,265.3742148255442,0,0,1
21865.214029511906,NEXT_ARRIVAL,21827.444180905983,21865.214029511906,13450.215622581727,340.9139120373911,0,0,2
21995.596707473152,NEXT_ARRIVAL,21865.214029511906,21995.596707473152,19838.9668426828,732.0619459211302,0,0,3
22000.17124806776,NEXT_ARRIVAL,21995.596707473152,22000.17124806776,20058.544791223947,750.3601082995592,0,0,4
22010.215455946516,END_SERVICE,22000.17124806776,22010.215455946516,20530.6225615255,800.5811476933413,0,0,5
22019.3245868641,END_SERVICE,21995.596707473152,22019.3245868641,20967.860845569467,837.017671363672,0,0,4
22022.771388477668,END_SERVICE,21865.214029511906,22022.771388477668,21136.75412463434,847.3580762043784,0,0,3
22045.231981910503,END_SERVICE,21827.444180905983,22045.231981910503,22259.78379627612,892.2792630700496,0,0,2
22067.262073795246,END_SERVICE,21803.176602275133,22067.262073795246,23383.318482397983,914.3093549547921,0,0,1
22089.86895148096,NEXT_ARRIVAL,22000.17124806776,22089.86895148096,24558.876122055095,914.3093549547921,0,0,0
22192.253716046947,NEXT_ARRIVAL,22089.86895148096,22192.253716046947,29780.499114920483,1016.6941195207801,0,0,1
22272.80604852337,NEXT_ARRIVAL,22192.253716046947,22272.80604852337,33808.11573874157,1177.7987844736235,0,0,2
22304.003219809227,END_SERVICE,22089.86895148096,22304.003219809227,35336.7771317486,1271.3902983311964,0,0,3
22348.90715725882,NEXT_ARRIVAL,22272.80604852337,22348.90715725882,37581.97400422817,1361.1981732303793,0,0,2
22385.354911912546,END_SERVICE,22348.90715725882,22385.354911912546,39367.91398226064,1470.5414371915613,0,0,3
22400.163507412864,NEXT_ARRIVAL,22348.90715725882,22400.163507412864,40108.34375727658,1500.158628192199,0,0,2
22401.668596397216,END_SERVICE,22272.80604852337,22401.668596397216,40182.09311750998,1504.6738951452535,0,0,3
22443.3642471135,END_SERVICE,22400.163507412864,22443.3642471135,42266.87565332414,1588.0651965778197,0,0,2
22460.366277059962,END_SERVICE,22192.253716046947,22460.366277059962,43133.979180593946,1605.067226524283,0,0,1
22545.40807050013,NEXT_ARRIVAL,22400.163507412864,22545.40807050013,47556.15243948242,1605.067226524283,0,0,0
22572.283229141092,NEXT_ARRIVAL,22545.40807050013,22572.283229141092,48926.78553017156,1631.9423851652464,0,0,1
22646.965165497786,NEXT_ARRIVAL,22572.283229141092,22646.965165497786,52660.88234800607,1781.306257878634,0,0,2
22648.120118812505,END_SERVICE,22572.283229141092,22648.120118812505,52717.4750604273,1784.771117822791,0,0,3
22689.13389995344,NEXT_ARRIVAL,22646.965165497786,22689.13389995344,54768.16411747414,1866.7986801046573,0,0,2
22690.52616809777,END_SERVICE,22545.40807050013,22690.52616809777,54836.38525654662,1870.9754845376556,0,0,3
22698.793429516936,END_SERVICE,22689.13389995344,22698.793429516936,55249.74832750506,1887.5100073759859,0,0,2
22737.37684027547,NEXT_ARRIVAL,22689.13389995344,22737.37684027547,57217.502276190215,1926.0934181345183,0,0,1
22774.392765453737,END_SERVICE,22646.965165497786,22774.392765453737,59068.29853510361,2000.1252684910542,0,0,2
22785.527801230426,NEXT_ARRIVAL,22737.37684027547,22785.527801230426,59636.18535971496,2011.2603042677438,0,0,1
22842.991881039947,NEXT_ARRIVAL,22785.527801230426,22842.991881039947,62509.38935019099,2126.188463886785,0,0,2
22871.822422469526,NEXT_ARRIVAL,22842.991881039947,22871.822422469526,63922.08588024019,2212.6800881755225,0,0,3
