Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Queue_Length,Entities_System
25668.85719958032,NEXT_ARRIVAL,25463.299582206724,25668.85719958032,197076.14599525832,14504.428382919083,0,2
25675.999303675988,NEXT_ARRIVAL,25572.093637661856,25675.999303675988,197426.1090959458,14525.854695206082,0,3
25755.24070541062,END_SERVICE,25572.093637661856,25755.24070541062,201229.69637920876,14842.820302144606,0,4
25759.628217782287,END_SERVICE,25668.85719958032,25759.628217782287,201444.68448542067,14855.98283925961,0,3
25789.372843003657,NEXT_ARRIVAL,25384.14108430808,25789.372843003657,202931.9157464885,14915.47208970235,0,2
25824.638753626314,END_SERVICE,25553.370185260803,25824.638753626314,204659.94536699902,15021.26982157032,0,3
25833.294252952983,NEXT_ARRIVAL,25668.85719958032,25833.294252952983,205092.72033333284,15038.580820223659,0,2
25839.015452842566,END_SERVICE,25675.999303675988,25839.015452842566,205373.05912792226,15055.74441989241,0,3
25873.909152859993,NEXT_ARRIVAL,24978.954735780415,25873.909152859993,207117.74412879322,15125.531819927262,0,2
25911.550916667788,END_SERVICE,25833.294252952983,25911.550916667788,208962.19055537533,15238.457111350646,0,3
25928.495343583258,END_SERVICE,25873.909152859993,25928.495343583258,209809.41190114847,15272.345965181587,0,2
25963.338784027444,END_SERVICE,25789.372843003657,25963.338784027444,211586.42736380163,15307.189405625773,0,1
26119.427511819562,NEXT_ARRIVAL,25636.49713423052,26119.427511819562,219703.04120899155,15307.189405625773,0,0
26201.951799389426,NEXT_ARRIVAL,26119.427511819562,26201.951799389426,223911.77987505443,15389.713693195637,0,1
26235.703115397002,NEXT_ARRIVAL,25463.957500936303,26235.703115397002,225599.34567543323,15457.21632521079,0,2
26280.568033341035,NEXT_ARRIVAL,25675.999303675988,26280.568033341035,227797.72665469119,15591.811079042887,0,3
26289.407268313014,NEXT_ARRIVAL,26280.568033341035,26289.407268313014,228222.00993334554,15627.168018930806,0,4
26305.664411138994,NEXT_ARRIVAL,25323.37870103281,26305.664411138994,228986.09564616677,15708.453733060705,0,5
26308.681981498565,END_SERVICE,26235.703115397002,26308.681981498565,229124.90388270718,15726.559155218129,0,6
26309.14748000251,END_SERVICE,26119.427511819562,26309.14748000251,229146.78231239226,15728.886647737854,0,5
26317.277113075852,NEXT_ARRIVAL,26235.703115397002,26317.277113075852,229537.00469991285,15761.405180031223,0,4
26349.872735527042,END_SERVICE,26289.407268313014,26349.872735527042,231068.9989551188,15924.383292287173,0,5
26377.19886918803,NEXT_ARRIVAL,25833.294252952983,26377.19886918803,232380.65337084548,16033.68782693112,0,4
26396.634194819835,END_SERVICE,26317.277113075852,26396.634194819835,233294.11367554072,16130.864455090152,0,5
26411.01716174359,END_SERVICE,26305.664411138994,26411.01716174359,233984.4960878812,16188.396322785178,0,4
26419.709949187458,NEXT_ARRIVAL,26377.19886918803,26419.709949187458,234410.44267263083,16214.474685116777,0,3
26424.703939581144,END_SERVICE,26280.568033341035,26424.703939581144,234650.15421152726,16234.450646691523,0,4
26461.650278290377,END_SERVICE,26201.951799389426,26461.650278290377,236460.52480828002,16345.289662819221,0,3
26467.868239704167,NEXT_ARRIVAL,26419.709949187458,26467.868239704167,236771.42287896932,16357.7255856468,0,2
26477.372316450088,NEXT_ARRIVAL,26289.407268313014,26477.372316450088,237237.1226395191,16386.237815884564,0,3
26490.05205929588,NEXT_ARRIVAL,25789.372843003657,26490.05205929588,237845.7502961172,16436.956787267725,0,4
26517.4263774738,NEXT_ARRIVAL,26305.664411138994,26517.4263774738,239132.34325047984,16573.82837815733,0,5
26533.65521545427,END_SERVICE,26490.05205929588,26533.65521545427,239878.86979758198,16671.201406040153,0,6
26546.20829470739,NEXT_ARRIVAL,26477.372316450088,26546.20829470739,240468.86452247866,16733.966802305757,0,5
26563.624621370847,END_SERVICE,26419.709949187458,26563.624621370847,241270.01554899768,16838.464762286498,0,6
26586.99356655918,NEXT_ARRIVAL,24286.759696985675,26586.99356655918,242368.35597284898,16955.309488228162,0,5
26614.409268194977,END_SERVICE,26377.19886918803,26614.409268194977,243629.47824809546,17119.803698042942,0,6
26616.610485124096,NEXT_ARRIVAL,26586.99356655918,26616.610485124096,243732.9354437644,17130.80978268854,0,5
26617.764237054762,NEXT_ARRIVAL,26317.277113075852,26617.764237054762,243786.0080325747,17137.732294272533,0,6
26617.782219394656,END_SERVICE,26517.4263774738,26617.782219394656,243786.81723786992,17137.85817065179,0,7
26634.22331309423,END_SERVICE,26477.372316450088,26634.22331309423,244543.10754805015,17236.504732849233,0,6
26639.323416461877,NEXT_ARRIVAL,26467.868239704167,26639.323416461877,244782.8124063294,17262.00524968747,0,5
26648.20452234188,NEXT_ARRIVAL,26201.951799389426,26648.20452234188,245191.343276809,17315.291884967482,0,6
26657.228528701977,END_SERVICE,26648.20452234188,26657.228528701977,245597.42356301323,17378.459929488166,0,7
26665.497046058896,END_SERVICE,26467.868239704167,26665.497046058896,245977.7753614315,17428.07103362968,0,6
26675.257054779107,NEXT_ARRIVAL,26639.323416461877,26675.257054779107,246436.49577128162,17476.87107723074,0,5
26708.77138202971,END_SERVICE,26639.323416461877,26708.77138202971,247978.15482480903,17677.957040734356,0,6
26717.695857559094,NEXT_ARRIVAL,26490.05205929588,26717.695857559094,248397.60517468973,17722.579418381276,0,5
26735.240893634815,NEXT_ARRIVAL,26617.764237054762,26735.240893634815,249204.67683417303,17827.8496348356,0,6
26756.887425799992,END_SERVICE,26546.20829470739,26756.887425799992,250178.77078160603,17979.375359991842,0,7
